country,n_years,slope_decade,ci_low,ci_high,mk_p
French Southern And Antarctic Lands,66,0.15102777777777762,0.11901785714285731,0.1907843137254901,2.4870328019233057e-11
Heard Island And Mcdonald Islands,66,0.13803030303030317,0.09758333333333291,0.17985294117647044,7.048672756582164e-10
Uzbekistan,184,0.10747619047619059,0.08805280528052803,0.12605967078189323,0.0
South Georgia And The South Sandwich Isla,123,0.1064,0.0859558823529412,0.12666666666666665,0.0
Kiribati,131,0.10623762376237628,0.09262931034482763,0.11980286738351284,0.0
Turkmenistan,184,0.10538627450980415,0.08706582633053225,0.12276785714285714,0.0
Palmyra Atoll,131,0.10526729559748406,0.09266025641025796,0.11698979591836767,0.0
Kingman Reef,131,0.1049494949494951,0.09226190476190543,0.11680180180180195,0.0
Federated States Of Micronesia,114,0.10427083333333265,0.09258215962441271,0.11565151515151617,0.0
French Polynesia,137,0.1022112232574193,0.09130461592670945,0.11366071428571267,0.0
Kyrgyzstan,182,0.09970967741935484,0.08186046511627924,0.11835714285714298,0.0
Tonga,139,0.09959039548022591,0.08494696969696974,0.1136217948717947,0.0
Niue,139,0.09926075268817172,0.08739087301587356,0.11168650793650844,0.0
Ecuador,133,0.0987268518518497,0.0854032258064514,0.11203703703703721,0.0
Palau,131,0.09828125000000001,0.09055921052631627,0.10572222222222176,0.0
Northern Mariana Islands,111,0.09687500000000071,0.0865126811594203,0.10899122807017636,0.0
Guam,111,0.09687500000000071,0.0865126811594203,0.10899122807017636,0.0
Niger,146,0.09616959064327427,0.07991341991341977,0.11253164556962017,0.0
Fiji,139,0.09596994535519074,0.08360833333333346,0.10808608058608044,0.0
Tajikistan,181,0.09523962370801033,0.07865432098765432,0.11204115013774119,0.0
Kazakhstan,201,0.09469587491683301,0.0745328980411853,0.1135294117647058,0.0
American Samoa,139,0.09416666666666629,0.08432598039215686,0.1039130434782612,0.0
Samoa,139,0.093626760563381,0.08412213740458017,0.10240061162079495,0.0
Nigeria,145,0.09361804360298348,0.07927964205816548,0.10803571428571415,0.0
Solomon Islands,133,0.09203982762406712,0.08237745098039191,0.10054347826086926,0.0
North Korea,175,0.0919958847736625,0.07605140186915885,0.10834507042253515,0.0
Benin,148,0.09171491064780335,0.07823581560283678,0.10673684210526309,0.0
Guinea,157,0.09162241541353373,0.08134803921568667,0.10213855421686763,0.0
Sierra Leone,158,0.0914666666666662,0.08142107892107882,0.10116071428571642,0.0
Christmas Island,157,0.09134307170714925,0.08340277777777791,0.09922979797979772,0.0
Togo,148,0.09123330662393156,0.07862704918032765,0.1062499999999998,0.0
Côte D'Ivoire,156,0.091109477124185,0.08013157894736835,0.10182765151515193,0.0
Sao Tome And Principe,146,0.09034444444444462,0.07855231143552305,0.10307189542483683,0.0
Ghana,149,0.09009351432880813,0.07724509803921616,0.10417391304347862,0.0
Chad,146,0.09007183908045975,0.0754279279279277,0.1042948717948715,0.0
Burkina Faso,155,0.09005208333333307,0.07731220657276949,0.10297029702970253,0.0
Peru,135,0.08963815789473666,0.07770467836257286,0.10192810457516362,0.0
Liberia,158,0.08955840455840455,0.08033549783549784,0.10003472222222183,0.0
Reunion,142,0.0894179894179893,0.07733333333333298,0.10001700680272062,0.0
Mongolia,193,0.08926320582877958,0.07208333333333333,0.10772569444444455,0.0
Canada,210,0.08914761904761898,0.07191299790356391,0.1060594315245477,0.0
Russia,201,0.08904422951532276,0.07288968824940037,0.10479166666666595,0.0
Equatorial Guinea,146,0.08882608695652172,0.07700336700336709,0.10136006289308155,0.0
Azerbaijan,205,0.08871865919468655,0.07468106995884767,0.10367977528089894,0.0
Mauritius,142,0.08871853741496594,0.07684256286784372,0.09991228070175401,0.0
Guinea Bissau,157,0.08838030133928573,0.07796052631578962,0.09894791666666691,0.0
Cameroon,146,0.08802536231884023,0.07534136546184744,0.10050925925925905,0.0
Iran,177,0.08747546897546955,0.07260620915032681,0.10204301075268797,0.0
Gabon,146,0.08705314009661817,0.07578787878787871,0.09919191919191912,0.0
Mali,157,0.08686912568306011,0.07353375527426165,0.09985380116959083,0.0
South Korea,173,0.08649915824915881,0.07197183098591539,0.09983796296296302,0.0
Argentina,159,0.08619047619047644,0.07553571428571461,0.09663265306122477,0.0
Senegal,157,0.08606771417882544,0.07379824561403468,0.09787558685446024,0.0
Greenland,191,0.08570312499999955,0.06332375478927194,0.10815891472868237,1.7084111902931909e-12
Gambia,157,0.08564973092750937,0.07406862745097949,0.09781250000000075,0.0
Congo (Democratic Republic Of The),146,0.08554487179487215,0.07593297101449259,0.09598173515981785,0.0
Denmark,191,0.08553571428571669,0.06341145833333228,0.10710069444444414,1.3484768857097151e-12
Papua New Guinea,132,0.0854107142857147,0.074699453551913,0.09595628415300538,0.0
Philippines,158,0.08541062801932404,0.07716463414634164,0.09318807339449547,0.0
Congo,146,0.08512931034482794,0.07327519379844973,0.09649193548387043,0.0
